,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.004435348510742188,0.0001250918827334051,0.004994344711303711,0.00019777567132558025,gini,2,5,50,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5, 'min_samples_split': 50}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
11,0.004669761657714844,0.0005111153550864109,0.005052423477172852,0.00021577245487914022,gini,2,5,100,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5, 'min_samples_split': 100}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
12,0.004401874542236328,0.0001679092799837942,0.00501708984375,0.00021628417856860933,gini,2,10,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
13,0.004380559921264649,8.275022206658362e-05,0.004984283447265625,0.00015883506578954774,gini,2,10,5,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 5}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
14,0.004425859451293946,0.0001384214495164807,0.005025386810302734,0.00012706417461715136,gini,2,10,10,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
15,0.004356527328491211,6.79506502518279e-05,0.0050697803497314455,0.0001903077588775137,gini,2,10,15,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 15}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
16,0.004422807693481445,0.00012138475942689554,0.004895639419555664,7.774499025181273e-05,gini,2,10,50,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
17,0.004383993148803711,0.00011715554196484996,0.004942703247070313,9.386190333327964e-05,gini,2,10,100,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 100}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
18,0.004386329650878906,5.7870942473394886e-05,0.004912376403808594,3.216725232603899e-05,gini,2,15,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 15, 'min_samples_split': 2}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
19,0.004452228546142578,0.00022281682525969126,0.004909038543701172,0.00020433304034186313,gini,2,15,5,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 15, 'min_samples_split': 5}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
20,0.0062903881072998045,0.001331983174487816,0.008457136154174805,0.003470050519980777,gini,2,15,10,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 15, 'min_samples_split': 10}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
21,0.005114698410034179,0.0007826267514242499,0.005480289459228516,0.0007669625307532645,gini,2,15,15,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 15, 'min_samples_split': 15}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
22,0.004458951950073242,0.0001655018866750287,0.0048868656158447266,9.853214243593548e-05,gini,2,15,50,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 15, 'min_samples_split': 50}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
23,0.004454994201660156,7.687091221030558e-05,0.005000782012939453,7.732784555766994e-05,gini,2,15,100,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 15, 'min_samples_split': 100}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
24,0.004520416259765625,0.00019611518731583354,0.004951095581054688,0.00011022424837220015,gini,2,20,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 20, 'min_samples_split': 2}",0.8035714285714286,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.7371428571428571,0.08284111109813992,182
